age,height_cm,weight_kg,potential,international_reputation,weak_foot,shooting,passing,dribbling,defending,physic,value_eur
33,187,83,94,5,4,93,81,89,35,79,77000000
31,170,72,94,5,4,91,88,96,32,61,110500000
26,175,68,93,5,5,84,83,95,32,59,118500000
27,181,70,92,4,5,86,92,87,60,78,102000000
32,184,82,91,4,3,63,71,71,91,84,51000000
31,182,86,91,5,4,90,79,88,52,85,80000000
32,172,66,91,4,4,76,90,91,70,67,67000000
27,173,74,91,4,4,82,86,94,35,67,93000000
32,187,78,90,3,3,48,65,62,89,84,44000000
28,183,76,90,4,5,82,89,82,74,69,76500000
29,184,80,90,4,4,89,75,85,41,82,77000000
24,177,75,94,3,3,85,84,91,28,66,89000000
26,176,79,92,3,3,81,85,93,61,62,83000000
24,188,89,92,3,4,90,79,80,47,83,86000000
27,176,73,90,4,3,86,81,89,50,70,78000000
33,187,85,89,4,2,46,56,58,91,82,27000000
30,173,70,89,4,4,89,76,89,28,73,64500000
32,173,67,89,4,2,74,87,90,50,60,51500000
29,191,92,89,4,3,58,76,72,90,76,51500000
31,185,77,89,4,3,87,72,80,52,83,60000000
26,181,76,91,3,5,82,89,86,53,64,73500000
25,192,84,91,4,4,79,86,85,69,87,73000000
26,185,84,91,3,3,69,75,72,87,88,61500000
26,172,68,89,3,4,81,86,91,45,64,69500000
26,181,78,89,4,3,86,88,86,50,67,69500000
26,175,71,89,3,3,84,79,89,45,72,69500000
33,183,82,88,4,3,54,73,69,88,79,24000000
30,186,89,88,4,4,87,70,83,31,74,57000000
28,185,81,88,4,3,88,84,85,58,76,60000000
30,174,80,88,4,4,71,83,90,81,82,43000000
29,189,76,88,4,3,62,79,78,85,80,46000000
27,163,59,88,3,3,76,84,91,36,50,62000000
19,178,73,95,3,4,81,79,89,39,72,72000000
24,182,75,92,3,3,64,71,72,88,82,57000000
27,187,89,90,3,2,26,46,59,88,86,51000000
25,181,75,90,3,4,85,61,79,36,72,64500000
25,190,94,89,3,4,84,76,75,35,87,62500000
31,194,85,87,4,3,61,69,65,87,76,34000000
30,184,78,87,4,3,84,87,82,72,69,46500000
30,183,79,87,3,5,80,84,84,72,69,46500000
31,189,86,87,3,3,63,73,72,88,79,34000000
31,169,61,87,3,4,83,80,91,34,55,45000000
29,169,74,87,4,3,83,79,89,45,77,49500000
29,187,80,87,3,4,84,75,80,37,70,50500000
29,170,68,87,3,3,69,79,83,79,72,38000000
28,185,85,87,3,4,87,63,82,39,76,52000000
22,183,75,93,2,3,81,78,86,38,70,62500000
25,191,81,92,3,3,45,61,64,86,80,51500000
25,165,60,89,3,4,60,84,89,79,66,55000000
26,181,76,88,3,4,83,80,86,61,78,54500000
28,178,78,87,3,3,55,78,73,87,77,40500000
26,175,69,87,3,4,80,76,87,42,73,52000000
33,179,67,86,3,4,74,78,79,83,79,18000000
35,198,91,86,3,4,69,64,61,87,74,10500000
29,180,76,86,4,2,73,86,85,24,58,43500000
31,189,94,86,3,3,45,54,64,87,85,30000000
28,178,72,86,3,4,70,86,86,73,69,44000000
29,186,80,86,3,5,80,80,84,62,78,43500000
29,192,90,86,4,4,50,72,65,85,83,34500000
31,190,85,86,3,3,58,69,70,87,80,30000000
27,174,70,86,3,3,74,84,90,67,63,45500000
29,182,74,86,2,4,80,88,79,71,71,42500000
28,186,75,86,4,4,83,80,78,50,71,46000000
27,172,70,86,3,3,75,81,91,43,65,46500000
27,180,80,86,3,3,65,77,81,82,83,36500000
29,194,85,86,3,3,71,79,76,83,83,34500000
30,183,81,86,3,3,57,63,59,86,80,33000000
22,182,76,93,3,3,84,83,85,43,60,56500000
23,187,80,92,1,4,41,57,61,87,82,46500000
23,184,77,91,3,4,77,79,82,78,76,52000000
23,191,76,90,2,4,79,80,83,77,84,50500000
24,188,78,89,3,2,69,78,77,84,84,42500000
24,173,75,89,3,3,82,81,89,33,79,50000000
23,170,69,88,3,3,73,76,88,47,56,49000000
23,176,70,88,3,4,68,83,82,77,73,40500000
27,189,83,87,3,2,18,42,61,86,82,37500000
26,180,76,87,4,4,73,80,80,81,75,38000000
26,193,92,87,3,3,60,67,70,85,84,38500000
29,186,81,86,3,3,57,72,65,88,78,34000000
26,176,74,86,3,4,75,88,82,69,78,45000000
34,180,80,85,4,2,85,81,88,32,62,19500000
36,195,95,85,5,4,86,77,78,34,78,14000000
35,188,81,85,4,3,51,57,61,85,81,9000000
32,190,85,85,4,3,54,65,65,85,81,22000000
35,170,72,85,4,4,76,82,88,30,57,17000000
32,182,74,85,3,3,62,78,78,81,79,21500000
32,177,72,85,3,4,84,69,78,43,74,30500000
33,186,78,85,3,3,49,60,68,88,76,15500000
31,180,75,85,3,2,68,77,79,83,83,26000000
30,176,77,85,3,3,79,78,82,83,83,35500000
29,188,86,85,4,4,83,64,76,49,87,38500000
31,189,90,85,3,4,76,80,78,81,83,33000000
32,193,84,85,3,4,85,71,75,46,73,30500000
31,180,75,85,4,4,80,79,77,84,83,26000000
28,175,66,85,3,3,75,78,90,41,59,39000000
29,182,71,85,3,3,81,77,81,79,84,37000000
29,180,71,85,4,4,86,82,86,44,64,37500000
30,175,67,85,2,3,86,77,86,35,65,36500000
27,179,67,85,3,4,79,81,90,37,59,40500000
22,188,80,90,3,3,81,78,82,65,78,42500000
22,195,97,90,2,3,41,52,49,83,82,36500000
23,173,64,90,2,3,72,83,89,46,58,42500000
24,183,75,89,3,3,38,69,67,85,76,35500000
22,187,79,89,2,3,45,55,66,84,82,35500000
23,185,80,88,2,3,45,51,52,86,82,34000000
26,178,68,87,3,3,63,81,78,80,71,31500000
26,173,73,87,3,3,45,73,79,82,78,31500000
25,179,70,87,2,3,80,81,84,42,69,39000000
26,180,65,87,2,3,64,84,82,69,71,38000000
25,181,71,87,3,2,71,83,81,80,77,32000000
26,189,78,86,3,4,41,60,66,86,76,31500000
26,187,83,86,3,4,55,79,75,82,84,31500000
27,180,80,85,3,4,74,83,84,69,70,35000000
27,175,73,85,3,4,82,72,84,40,72,36500000
27,182,77,85,2,3,81,73,82,44,71,36500000
25,183,65,85,3,5,85,76,85,42,68,37000000
34,175,67,84,3,4,74,82,88,24,62,15500000
37,187,87,84,3,3,34,57,64,89,72,4200000
30,165,68,84,3,4,76,81,89,39,57,30000000
32,190,82,84,3,3,41,61,63,86,75,18000000
30,185,82,84,3,2,70,77,87,78,82,29000000
31,180,77,84,4,3,74,88,80,60,58,26500000
30,185,81,84,4,4,79,76,81,32,75,30000000
30,186,85,84,3,2,51,50,60,84,82,23000000
34,181,74,84,3,5,86,77,84,38,65,16500000
31,175,77,84,3,4,77,85,86,38,68,27500000
29,192,86,84,3,3,55,70,64,86,83,24000000
29,175,77,84,3,4,77,80,86,49,62,30500000
32,190,85,84,3,3,78,71,75,66,85,25000000
30,180,69,84,4,2,76,82,85,47,66,29500000
31,178,73,84,3,2,78,75,83,47,65,27500000
28,183,70,84,3,2,63,75,77,81,80,24500000
28,179,75,84,2,3,71,80,79,70,72,31000000
29,177,75,84,3,5,78,79,85,52,69,30500000
30,179,72,84,3,3,74,77,88,66,69,29500000
21,175,73,92,2,3,80,72,87,39,73,41000000
21,172,74,90,2,4,79,81,85,27,64,36500000
24,178,78,89,3,4,69,82,86,69,72,35000000
22,184,76,89,3,3,81,73,86,42,72,35500000
22,171,62,89,3,2,76,83,85,59,67,35500000
22,189,80,89,2,3,39,67,67,82,83,30500000
24,176,78,88,3,3,81,78,84,33,79,35000000
23,189,79,88,3,4,74,80,81,77,76,34000000
24,189,85,88,2,3,50,67,61,85,76,29500000
22,194,95,88,2,4,27,58,58,83,81,29500000
23,181,81,88,2,3,77,79,78,76,81,34000000
23,172,64,88,2,4,73,78,88,64,68,34000000
23,192,80,87,2,3,74,79,80,77,79,33000000
23,182,67,87,2,2,75,81,84,43,52,34000000
22,181,75,87,3,4,79,67,83,35,67,34500000
23,179,69,87,2,3,80,84,83,62,72,34000000
22,178,71,87,2,3,76,75,86,25,60,34000000
21,179,68,87,1,3,79,76,84,36,68,34000000
26,189,93,86,2,4,83,66,77,40,80,32500000
26,188,83,86,3,3,64,70,74,82,86,27000000
25,189,85,86,3,4,79,71,80,31,71,33000000
24,187,77,86,3,5,80,82,87,55,64,32500000
27,187,79,86,2,3,35,54,57,84,74,26000000
26,178,75,86,2,4,74,81,81,70,69,31500000
24,181,73,86,3,4,79,75,87,41,64,33000000
28,180,76,85,2,4,37,66,64,81,79,24500000
26,180,77,85,1,4,81,66,78,45,69,32000000
26,174,72,84,2,4,83,78,83,32,67,30500000
34,184,83,83,3,4,63,73,69,85,80,8000000
37,182,78,83,3,3,82,64,75,50,81,9500000
31,179,78,83,3,3,66,76,78,82,75,17500000
30,170,63,83,3,3,76,84,85,37,50,24500000
30,174,71,83,3,4,71,86,83,69,68,24500000
31,189,84,83,4,3,65,73,70,82,77,17500000
28,172,68,83,2,3,78,79,84,46,75,26000000
30,187,78,83,3,3,60,71,70,82,83,19000000
27,189,88,83,4,4,84,73,79,24,77,27500000
29,196,89,83,3,3,83,57,65,45,83,26000000
29,175,68,83,3,4,69,78,87,54,49,25500000
28,186,80,83,3,3,72,81,77,79,80,25500000
30,190,80,83,3,2,32,44,53,83,83,19000000
28,177,72,83,3,4,76,82,81,64,69,25500000
29,191,86,83,3,3,41,58,59,83,85,20000000
27,173,70,83,2,4,75,82,82,46,67,27000000
26,188,83,83,1,3,84,62,72,33,75,28500000
26,185,80,83,1,3,43,56,64,85,77,22500000
26,177,75,83,1,4,77,83,84,35,72,28000000
21,178,67,91,3,5,75,76,88,36,55,34500000
21,171,73,90,1,3,73,79,82,70,69,32500000
23,188,78,89,2,3,34,52,65,84,79,26500000
24,191,80,89,2,4,82,80,81,59,71,31000000
22,188,78,89,2,3,31,63,70,84,72,26500000
23,186,81,89,1,4,35,59,66,83,78,26500000
22,182,76,89,1,3,47,68,71,80,78,26000000
20,180,75,89,1,4,77,75,85,33,64,31500000
22,175,75,88,2,4,81,72,86,44,67,30500000
25,185,77,88,1,3,67,74,77,80,82,25500000
22,185,82,88,2,4,77,78,85,30,64,30500000
25,183,74,87,2,4,77,85,85,33,60,30000000
25,174,71,87,2,4,76,79,85,69,62,29500000
24,176,70,87,3,3,75,82,87,33,54,29500000
24,188,70,87,2,4,36,69,71,83,78,25000000
24,181,72,87,3,5,81,57,77,41,84,30000000
24,185,77,87,2,3,75,80,86,56,64,29500000
24,187,77,87,2,3,42,59,65,82,82,25000000
23,173,72,87,3,3,69,75,86,47,61,29500000
22,191,82,87,1,3,69,75,78,76,75,29000000
25,180,65,86,3,2,73,86,82,57,67,28500000
23,190,84,86,2,3,39,53,64,85,75,24500000
26,176,75,85,4,4,73,83,86,59,67,27000000
25,180,66,85,2,3,74,73,88,29,72,28500000
25,188,80,85,2,2,73,76,79,83,88,27500000
25,175,70,85,3,4,75,78,88,56,60,28000000
25,169,64,85,1,4,74,77,82,75,71,27500000
26,184,82,84,3,3,57,64,61,81,77,22500000
25,194,100,84,1,3,46,63,69,81,82,22500000
26,179,78,84,2,4,71,81,83,33,65,27000000
27,175,69,83,3,3,72,77,83,72,73,25000000
28,186,83,83,3,4,37,63,67,83,74,20000000
27,183,76,83,3,3,76,79,80,67,74,25000000
26,179,66,83,3,3,76,80,81,55,50,26000000
27,188,84,83,2,3,73,78,78,80,79,20500000
29,185,78,83,2,2,42,64,60,82,82,19500000
27,196,92,83,3,3,43,52,59,83,86,21000000
27,184,73,83,3,3,58,71,74,81,73,21000000
27,182,73,83,2,4,81,72,80,35,75,26000000
25,174,70,83,3,3,75,75,86,42,64,26500000
27,187,79,83,2,2,49,68,65,83,80,21000000
26,191,90,83,2,4,76,77,75,78,84,21000000
27,186,84,83,2,3,81,62,77,50,86,26000000
27,173,67,83,3,3,77,78,81,76,76,20500000
25,175,62,83,2,3,78,76,83,56,66,26500000
28,180,80,83,2,3,58,74,71,75,80,20000000
27,177,73,83,2,4,84,71,86,30,71,26000000
26,168,65,83,2,4,71,82,81,73,73,25500000
36,179,75,82,2,3,77,83,83,41,61,7500000
36,175,69,82,3,5,83,74,82,34,67,8000000
35,172,68,82,4,3,71,81,84,77,66,4800000
32,178,63,82,3,4,63,81,81,77,71,12500000
32,186,75,82,3,3,41,62,64,82,75,12500000
32,180,83,82,2,2,67,76,80,79,79,12500000
32,192,87,82,2,2,42,54,53,83,82,12500000
